source,target,year,Tag
condition,syllable,1990,no
artificial_neural,digital,1990,no
artificial_neural,register,1990,no
digital,number,1990,no
digital,store,1990,no
number,register,1990,no
register,store,1990,no
speak,telephone,1990,no
decode,storage,1990,no
diagnostic,logic,1990,no
spectrum,transmission,1990,no
discharge,electric,1990,no
factor,item,1990,no
member,plurality,1990,no
member,transfer,1990,no
buffer,communication,1990,no
communication,message,1990,no
card,engine,1990,no
class,instruction,1990,no
analysis,automate,1990,no
answer,candidate,1990,no
answer,item,1990,no
characteristic,plurality,1990,no
digital,location,1990,no
document,location,1990,no
category,class,1990,no
class,portion,1990,no
message,string,1990,no
distance,relationship,1990,no
condition,evaluate,1990,no
navigation,path,1990,no
analysis,speak,1990,no
diagnostic,evaluate,1990,no
event,module,1990,no
pressure,sensor,1990,no
card,text,1990,no
correlation,transmission,1990,no
candidate,equipment,1990,no
secure,shift,1990,no
document,graphic,1990,no
mechanism,telephone,1990,no
associative,interface,1990,no
design,interface,1990,no
binary,logic,1990,no
automate,machine,1990,no
characteristic,transfer,1990,no
characteristic,mode,1990,no
characteristic,pressure,1990,no
cluster,decode,1990,no
coefficient,transform,1990,no
distribution,item,1990,no
item,portion,1990,no
equipment,logic,1990,no
buffer,correlation,1990,no
arrangement,transmission,1990,no
class,spectral,1990,no
class,transform,1990,no
connection,factor,1990,no
classification,waveform,1990,no
mean,node,1990,no
instruction,memory,1990,no
guidance,system,1990,no
membership,section,1990,no
device,diagnosis,1990,no
block,line,1990,no
frame,parameter,1990,no
beam,object,1990,no
analog,weight,1990,no
input,weight,1990,no
amplifier,line,1990,no
access,memory,1990,no
circuit,neuron,1990,no
track,vehicle,1990,no
knowledge,rule,1990,no
voice,word,1990,no
color,picture,1990,no
noise,standard,1990,no
network,set,1990,no
diagnosis,state,1990,no
memory,mode,1990,no
binary,register,1990,no
synapse,terminal,1990,no
feature_vector,power,1990,no
table,transform,1990,no
table,truth,1990,no
measurement,time,1990,no
communication,individual,1990,no
automate,test,1990,no
float,level,1990,no
switch,transmission,1990,no
course,target,1990,no
course,travel,1990,no
dictionary,update,1990,no
accumulate,travel,1990,no
sentence,string,1990,no
degree,feature_vector,1990,no
feature_vector,stroke,1990,no
cluster,pair,1990,no
cluster,sample,1990,no
dictionary,write,1990,no
access,cluster,1990,no
access,table,1990,no
instruction,storage,1990,no
segment,surface,1990,no
event,time,1990,no
address,buffer,1990,no
answer,attribute,1990,no
guide,mechanism,1990,no
distance,spectrum,1990,no
measurement,type,1990,no
angle,symbol,1990,no
flight,symbol,1990,no
controller,interface,1990,no
individual,instruction,1990,no
degree,segment,1990,no
graphic,segment,1990,no
command,control_system,1990,no
control_system,natural_language,1990,no
beam,surface,1990,no
guide,number,1990,no
response,test,1990,no
codebook,feature_vector,1990,no
engine,subsystem,1990,no
arithmetic,shift,1990,no
register,stage,1990,no
arithmetic,evaluate,1990,no
analysis,characteristic,1990,no
address,mode,1990,no
interface,storage,1990,no
location,test,1990,no
period,test,1990,no
instruction,machine,1990,no
language,machine,1990,no
address,arithmetic,1990,no
address,connection,1990,no
arithmetic,connection,1990,no
bus,decode,1990,no
class,classification,1990,no
digital,spectrum,1990,no
diagnosis,factor,1990,no
data,terminal,1990,no
plurality,transfer,1990,no
buffer,message,1990,no
guide,track,1990,no
material,sentence,1990,no
coefficient,switch,1990,no
distance,sequence,1990,no
feature_vector,retrieval,1990,no
design,operation,1990,no
procedure,transfer,1990,no
neural,update,1990,no
analysis,answer,1990,no
answer,text,1990,no
sequence,type,1990,no
distance,navigation,1990,no
search,target,1990,no
automate,guide,1990,no
automate,travel,1990,no
automate,control_system,1990,no
engine,sensor,1990,no
guide,wave,1990,no
station,travel,1990,no
document,portion,1990,no
float,terminal,1990,no
answer,diagnosis,1990,no
card,reasoning,1990,no
document,string,1990,no
characteristic,time,1990,no
secure,time,1990,no
detect,obstacle,1990,no
level,mechanism,1990,no
associative,design,1990,no
parallel,travel,1990,no
control_system,service,1990,no
mode,pressure,1990,no
controller,distribution,1990,no
controller,portion,1990,no
adaptive,neural,1990,no
class,plurality,1990,no
neural,pair,1990,no
opinion,rule,1990,no
logic,unit,1990,no
array,vector,1990,no
speaker,standard,1990,no
connection,element,1990,no
neuron,synapsis,1990,no
feedback,neuron,1990,no
control,variable,1990,no
image,optical,1990,no
detect,mean,1990,no
error,value,1990,no
character,recognition,1990,no
beam,vehicle,1990,no
element,neural,1990,no
feedback,output,1990,no
execution,inference,1990,no
control,speed,1990,no
category,neural_network,1990,no
fault,test,1990,no
dictionary,plurality,1990,no
base,mechanism,1990,no
camera,travel,1990,no
sentence,syllable,1990,no
document,switch,1990,no
sentence,switch,1990,no
accumulate,quantity,1990,no
attribute,hypothesis,1990,no
camera,guide,1990,no
operation,storage,1990,no
hypothesis,symbol,1990,no
converter,quantity,1990,no
power,quantity,1990,no
adaptive,feature_vector,1990,no
beam,load,1990,no
evaluate,table,1990,no
reasoning,subsystem,1990,no
base,execution,1990,no
path,symbol,1990,no
bit,converter,1990,no
individual,procedure,1990,no
arrangement,bus,1990,no
message,text,1990,no
distribution,feature_vector,1990,no
bus,truth,1990,no
arithmetic,register,1990,no
register,shift,1990,no
bit,channel,1990,no
analysis,item,1990,no
pitch,pixel,1990,no
buffer,storage,1990,no
address,storage,1990,no
arithmetic,storage,1990,no
connection,storage,1990,no
attribute,class,1990,no
attribute,classification,1990,no
digital,transmission,1990,no
diagnosis,item,1990,no
member,terminal,1990,no
adaptive,linear,1990,no
base,data,1990,no
diagnosis,module,1990,no
module,text,1990,no
person,telephone,1990,no
bus,voltage,1990,no
correlation,feature_vector,1990,no
membership,run,1990,no
connection,type,1990,no
gate,synapse,1990,no
transfer,type,1990,no
characteristic,control_system,1990,no
obstacle,travel,1990,no
syllable,time,1990,no
acoustic,segment,1990,no
road,travel,1990,no
controller,mode,1990,no
mode,telephone,1990,no
column,synapsis,1990,no
distance,path,1990,no
engine,pressure,1990,no
design,distance,1990,no
channel,quantity,1990,no
apparatus,target,1990,no
equipment,partial,1990,no
feature_vector,sequence,1990,no
engine,hypothesis,1990,no
gate,store,1990,no
binary,segment,1990,no
bus,stage,1990,no
mode,storage,1990,no
segment,waveform,1990,no
classification,cluster,1990,no
diagnosis,message,1990,no
controller,item,1990,no
processing_device,quantity,1990,no
person,type,1990,no
hypothesis,sentence,1990,no
dictionary,procedure,1990,no
adaptive,test,1990,no
linear,secure,1990,no
function,value,1990,no
inference,instruction,1990,no
coefficient,neural_network,1990,no
function,section,1990,no
neural_network,plurality,1990,no
position,reference,1990,no
code,parameter,1990,no
fuzzy,terminal,1990,no
class,neural_network,1990,no
correlation,information,1990,no
fuzzy,inference,1990,no
acoustic,voice,1990,no
section,signal,1990,no
learning,pattern,1990,no
base,rule,1990,no
error,mean,1990,no
individual,neuron,1990,no
point,reference,1990,no
feature,standard,1990,no
network,processing,1990,no
feature,second,1990,no
control,weight,1990,no
network,process,1990,no
node,weight,1990,no
switch,terminal,1990,no
correlation,user,1990,no
factor,user,1990,no
base,event,1990,no
module,target,1990,no
document,sentence,1990,no
azimuth,terminal,1990,no
quantity,region,1990,no
access,base,1990,no
component,item,1990,no
block,synapsis,1990,no
azimuth,beam,1990,no
sentence,table,1990,no
converter,matrix,1990,no
expert,instruction,1990,no
set,table,1990,no
column,stage,1990,no
address,level,1990,no
control_system,path,1990,no
dictionary,register,1990,no
amplifier,float,1990,no
arithmetic,control_system,1990,no
control_system,evaluate,1990,no
pixel,prediction,1990,no
expert,subsystem,1990,no
digital,register,1990,no
arithmetic,bus,1990,no
bus,connection,1990,no
plurality,terminal,1990,no
terminal,transfer,1990,no
block,location,1990,no
interface,user,1990,no
user,write,1990,no
controller,distance,1990,no
diagnosis,text,1990,no
block,mechanism,1990,no
expert,fault,1990,no
instruction,user,1990,no
amplifier,store,1990,no
matrix,number,1990,no
analysis,text,1990,no
answer,user,1990,no
control_system,plurality,1990,no
digital,document,1990,no
dictionary,type,1990,no
controller,telephone,1990,no
array,surface,1990,no
array,synapse,1990,no
array,synapsis,1990,no
guide,path,1990,no
guide,transfer,1990,no
transfer,travel,1990,no
partial,transfer,1990,no
candidate,partial,1990,no
arrangement,gate,1990,no
binary,bit,1990,no
logic,segment,1990,no
path,segment,1990,no
linear,operation,1990,no
amplifier,data,1990,no
logic,target,1990,no
symbol,text,1990,no
environment,temperature,1990,no
optimum,temperature,1990,no
gate,region,1990,no
neuron,output,1990,no
model,word,1990,no
reference,vehicle,1990,no
telephone,voice,1990,no
circuit,fuzzy,1990,no
area,device,1990,no
inference,table,1990,no
bus,neuron,1990,no
analog,memory,1990,no
processing,system,1990,no
analog,system,1990,no
plant,state,1990,no
feature,recognition,1990,no
color,memory,1990,no
datum,device,1990,no
layer,neuron,1990,no
character,write,1990,no
function,state,1990,no
character,string,1990,no
engine,reasoning,1990,no
detection,error,1990,no
quantity,similarity,1990,no
array,product,1990,no
error,rate,1990,no
cell,problem,1990,no
analysis,reasoning,1990,no
beam,detect,1990,no
bus,set,1990,no
graphic,process,1990,no
expert,procedure,1990,no
command,input,1990,no
input,natural_language,1990,no
arrangement,matrix,1990,no
process,response,1990,no
error,processing_device,1990,no
matrix,stage,1990,no
guide,telephone,1990,no
codebook,noise,1990,no
parallel,processing,1990,no
float,input,1990,no
decode,error,1990,no
bus,storage,1990,no
level,machine,1990,no
cell,mechanism,1990,no
class,user,1990,no
frame,index,1990,no
frame,run,1990,no
control_system,controller,1990,no
connection,gate,1990,no
base,design,1990,no
base,operation,1990,no
array,correlation,1990,no
processing,processing_device,1990,no
amplifier,row,1990,no
array,row,1990,no
process,wave,1990,no
variable,wave,1990,no
bit,path,1990,no
distance,guide,1990,no
design,expert,1990,no
channel,noise,1990,no
color,graphic,1990,no
level,telephone,1990,no
bit,logic,1990,no
amplifier,pair,1990,no
membership,pressure,1990,no
date,waveform,1990,no
classification,pixel,1990,no
electric,temperature,1990,no
apparatus,date,1990,no
neural,test,1990,no
environment,noise,1990,no
circuit,telephone,1990,no
state,value,1990,no
layer,neural,1990,no
computer,fuzzy,1990,no
line,point,1990,no
block,neuron,1990,no
network,weight,1990,no
control,object,1990,no
circuit,terminal,1990,no
circuit,test,1990,no
display,rule,1990,no
sound,voice,1990,no
date,pct,1991,no
remote,voice_command,1991,no
natural_language,sentence,1991,no
expert,system,1991,no
course,travel,1991,no
beam,laser,1991,no
class,classification,1991,no
apply,decrease,1991,no
dimensional,wave,1991,no
element,neural,1991,no
fuzzy,membership,1991,no
learn,learning,1991,no
sentence,structure,1991,no
image_processing,processing_apparatus,1991,no
hand,write,1991,no
conclusion,valve,1991,no
guidance,wire,1991,no
analog,digital,1991,no
air,environment,1991,no
action,monitor,1991,no
drive,driver,1991,no
external,internal,1991,no
disk,drive,1991,no
target,travel,1991,no
diagnostic,hypothesis,1991,no
shift,transmission,1991,no
angle,flight,1991,no
linear,nonlinear,1991,no
linear,relation,1991,no
nonlinear,relation,1991,no
external,machine,1991,no
form,substrate,1991,no
engine,speed,1991,no
section,telephone,1991,no
environment,quantity,1991,no
attribute,structure,1991,no
training,waveform,1991,no
area,cell,1991,no
light,optical,1991,no
input,waveform,1991,no
cluster,resource,1991,no
matrix,multiplication,1991,no
template,utterance,1991,no
flight,path,1991,no
program,register,1991,no
engine,fuel,1991,no
membership,reasoning,1991,no
output,value,1991,no
execute,inference,1991,no
matrix,memory,1991,no
matrix,multipli,1991,no
final,sound,1991,no
attribute,sentence,1991,no
confidence,degree,1991,no
apply,weight,1991,no
decrease,weight,1991,no
event,operator,1991,no
function,membership,1991,no
function,nonlinear,1991,no
inference,knowledge,1991,no
speaker,speech_recognition,1991,no
file,tree,1991,no
second,storage,1991,no
address,storage,1991,no
detect,error,1991,no
decrease,operation,1991,no
operation,product,1991,no
course,target,1991,no
layer,output,1991,no
inference,rule,1991,no
candidate,word,1991,no
knowledge,tree,1991,no
base,knowledge,1991,no
string,word,1991,no
dictionary,word,1991,no
learn,vector,1991,no
memory,write,1991,no
component,focus,1991,no
memory,multiplication,1991,no
optical,processing_apparatus,1991,no
discrimination,speaker,1991,no
array,test,1991,no
band,block,1991,no
neural_network,pattern,1991,no
layer,neuron,1991,no
datum,input_datum,1991,no
component,detect,1991,no
address,second,1991,no
assembly,component,1991,no
distance,obstacle,1991,no
distance,steering,1991,no
optical,substrate,1991,no
component,method,1991,no
electronic,search,1991,no
amplifier,telephone,1991,no
amplifier,weighting,1991,no
execution,record,1991,no
course,obstacle,1991,no
terminal,update,1991,no
comparator,range,1991,no
speech_recognition,update,1991,no
row,update,1991,no
order,work,1991,no
distribution,probability,1991,no
feedback,row,1991,no
segmentation,step,1991,no
mechanism,work,1991,no
obstacle,steering,1991,no
binary,motion,1991,no
apply,comparator,1991,no
detection,range,1991,no
decrease,product,1991,no
counter,step,1991,no
encode,product,1991,no
estimate,order,1991,no
feedback,probability,1991,no
calculate,product,1991,no
index,search,1991,no
pressure,wave,1991,no
binary,sort,1991,no
automatic,guide,1991,no
electronic,vowel,1991,no
encode,feature_vector,1991,no
output,signal,1991,no
noise,signal,1991,no
vehicle,wire,1991,no
circuit,output,1991,no
noise,speech,1991,no
phoneme,symbol,1991,no
aircraft,flight,1991,no
condition,machine,1991,no
mode,symbol,1991,no
control,process,1991,no
control,fuzzy,1991,no
travel,vehicle,1991,no
element,layer,1991,no
frequency,speech,1991,no
display,graphic,1991,no
motion,position,1991,no
action,process,1991,no
neural_network,recognize,1991,no
dictionary,electronic,1991,no
correlation,optical,1991,no
computer,module,1991,no
intermediate,neural,1991,no
sound,symbol,1991,no
sound,text,1991,no
symbol,text,1991,no
analysis,mechanism,1991,no
data,mechanism,1991,no
guidance,mechanism,1991,no
guidance,guide,1991,no
final,vowel,1991,no
clause,independent,1991,no
counter,hypothesis,1991,no
electronic,sheet,1991,no
calculate,operating,1991,no
calculate,transmission,1991,no
amplifier,operational,1991,no
driver,index,1991,no
environment,external,1991,no
displacement,wire,1991,no
external,resource,1991,no
fuzzy_logic,terminal,1991,no
multipli,multiplication,1991,no
analysis,inter,1991,no
laser,range,1991,no
plurality,transformation,1991,no
speech_recognition,voice_command,1991,no
automatic,focus,1991,no
detection,focus,1991,no
disk,pair,1991,no
multiplication,table,1991,no
multipli,probability,1991,no
external,work,1991,no
amplifier,intermediate,1991,no
action,course,1991,no
disk,record,1991,no
binary,partial,1991,no
image_datum,multiplication,1991,no
flight,missile,1991,no
filter,shape,1991,no
color,correction,1991,no
data,weighting,1991,no
image_datum,sort,1991,no
sort,unknown,1991,no
conclusion,confidence,1991,no
sheet,work,1991,no
analog,intermediate,1991,no
data,encode,1991,no
encode,response,1991,no
calculate,length,1991,no
length,product,1991,no
guide,laser,1991,no
control_system,detection,1991,no
abnormality,index,1991,no
analog,transmission,1991,no
feedback,intermediate,1991,no
array,mechanism,1991,no
analysis,segmentation,1991,no
intermediate,probability,1991,no
elevator,estimate,1991,no
data,range,1991,no
section,voice,1991,no
character,recognition,1991,no
phoneme,speech,1991,no
learn,neural,1991,no
control,variable,1991,no
layer,neural,1991,no
function,fuzzy,1991,no
function,value,1991,no
expert,knowledge,1991,no
bus,processor,1991,no
block,sound,1991,no
learning,processing,1991,no
aircraft,track,1991,no
distance,measure,1991,no
sequence,sound,1991,no
knowledge,rule,1991,no
display,knowledge,1991,no
input,output,1991,no
network,output,1991,no
input,value,1991,no
fuzzy,reasoning,1991,no
computer,path,1991,no
area,graphic,1991,no
aircraft,performance,1991,no
address,memory,1991,no
sound,speaker,1991,no
chip,row,1991,no
inter,relation,1991,no
electronic,level,1991,no
level,search,1991,no
data,guidance,1991,no
controller,guide,1991,no
control_system,discrimination,1991,no
estimate,nonlinear,1991,no
abnormality,operator,1991,no
abnormality,user,1991,no
operator,user,1991,no
attribute,clause,1991,no
conclusion,unknown,1991,no
electrode,water,1991,no
comparator,switch,1991,no
range,switch,1991,no
record,reference,1991,no
operating,transmission,1991,no
drive,index,1991,no
reference,weighting,1991,no
chip,distribution,1991,no
filter,water,1991,no
relation,vowel,1991,no
driver,operator,1991,no
internal,resource,1991,no
coordinate,dimensional,1991,no
independent,operator,1991,no
monitor,weighting,1991,no
mechanism,production,1991,no
production,work,1991,no
material,portion,1991,no
color,form,1991,no
apparatus,write,1991,no
electrode,material,1991,no
electrode,plurality,1991,no
material,plurality,1991,no
derive,estimate,1991,no
remote,speech_recognition,1991,no
control_system,voice_command,1991,no
guidance,response,1991,no
guidance,user,1991,no
response,user,1991,no
conclusion,operational,1991,no
operational,valve,1991,no
date,training,1991,no
action,operating,1991,no
multipli,processing_apparatus,1991,no
production,transformation,1991,no
image_datum,image_processing,1991,no
correction,number,1991,no
external,similarity,1991,no
external,voice_command,1991,no
similarity,voice_command,1991,no
command,location,1991,no
assembly,probability,1991,no
probability,register,1991,no
final,table,1991,no
course,monitor,1991,no
image_processing,user,1991,no
attribute,search,1991,no
derive,pressure,1991,no
fuzzy_logic,operating,1991,no
switch,terminal,1991,no
image_processing,transmission,1991,no
elevator,image_processing,1991,no
elevator,processing_apparatus,1991,no
binary,level,1991,no
membership,row,1991,no
execution,roll,1991,no
internal,weighting,1991,no
index,sample,1991,no
image_datum,unknown,1991,no
band,calculate,1991,no
represent,sheet,1991,no
flight,track,1991,no
apparatus,environment,1991,no
data,response,1991,no
direction,transformation,1991,no
analog,band,1991,no
assembly,mechanism,1991,no
focus,processing_apparatus,1991,no
sample,speech_recognition,1991,no
binary,register,1991,no
register,sort,1991,no
method,segmentation,1991,no
inter,track,1991,no
analog,form,1991,no
analog,substrate,1991,no
similarity,unknown,1991,no
operating,valve,1991,no
noise,voice,1991,no
character,document,1991,no
voice,voice_command,1991,no
similarity,voice,1991,no
aircraft,angle,1991,no
current,node,1991,no
sequence,speaker,1991,no
base,inference,1991,no
conclusion,rule,1991,no
value,weight,1991,no
function,linear,1991,no
input,training,1991,no
group,speaker,1991,no
dictionary,standard,1991,no
processing,processor,1991,no
point,standard,1991,no
linear,matrix,1991,no
matrix,nonlinear,1991,no
matrix,relation,1991,no
dictionary,frequency,1991,no
channel,noise,1991,no
line,missile,1991,no
learn,rate,1991,no
rate,recognition,1991,no
multipli,vector,1991,no
block,memory,1991,no
bus,node,1991,no
processing_apparatus,stage,1991,no
charge,electrode,1991,no
represent,string,1991,no
digital,missile,1991,no
controller,execute,1991,no
diagnostic,mechanism,1991,no
controller,guidance,1991,no
guide,structure,1991,no
board,station,1991,no
air,fuel,1991,no
template,training,1991,no
