source,target,year
assembly,detect,1991
cell,intermediate,1991
command,roll,1991
driver,travel,1991
correlation,shape,1991
drive,form,1991
index,module,1991
correction,storage,1991
estimate,standard,1991
order,standard,1991
abnormality,diagnostic,1991
charge,nonlinear,1991
data,storage,1991
response,storage,1991
drive,track,1991
guidance,rate,1991
dimensional,pixel,1991
attribute,input_datum,1991
image_datum,pixel,1991
elevator,travel,1991
estimate,time,1991
data,machine,1991
range,reasoning,1991
base,rule,1991
speed,vehicle,1991
candidate,character,1991
recognition,section,1991
block,voice,1991
evaluation,function,1991
area,picture,1991
condition,process,1991
address,matrix,1991
time,vector,1991
intermediate,layer,1991
form,image,1991
element,light,1991
device,form,1991
category,vector,1991
learn,weight,1991
environment,mode,1991
characteristic,distribution,1991
controller,structure,1991
measure,membership,1991
elevator,reasoning,1991
characteristic,motion,1991
fuzzy_logic,reasoning,1991
estimate,phoneme,1991
production,travel,1991
clause,evaluation,1991
final,recognize,1991
length,motor,1991
clause,sentence,1991
current,switch,1991
level,rate,1991
bus,instruction,1991
instruction,recognize,1991
amplifier,threshold,1991
length,standard,1991
chip,item,1991
module,number,1991
phoneme,probability,1991
correlation,partial,1991
item,method,1991
environment,evaluation,1991
represent,time,1991
cell,file,1991
register,shift,1991
filter,frequency,1991
range,sentence,1991
phoneme,segmentation,1991
phoneme,step,1991
calculate,second,1991
date,pixel,1991
correlation,intermediate,1991
natural_language,program,1991
angle,missile,1991
binary,code,1991
external,standard,1991
category,vowel,1991
code,vowel,1991
comparator,second,1991
reference,utterance,1991
standard,voice_command,1991
automatic,mode,1991
product,second,1991
change,state,1991
channel,remote,1991
command,power,1991
feature_vector,state,1991
bus,missile,1991
band,power,1991
attribute,item,1991
monitor,performance,1991
address,counter,1991
address,step,1991
correlation,filter,1991
address,row,1991
membership,storage,1991
row,second,1991
execution,state,1991
abnormality,module,1991
file,language,1991
rate,roll,1991
address,location,1991
detect,pixel,1991
